,activite,code_ape
578,"Achat, vente, pose et installation de cuisines, de salles de bains et, d'une façon générale, de tous éléments, articles et accessoires relatifs à l'aménagement, la décoration et le confort de l'habitation. Création, acquisition, prise ou mise en location, résiliation ou cession de bail, installation, exploitation directe ou indirecte, cession, apport de tous fonds de commerce, établissements commerciaux ou industriels, terrains, usines, ateliers, magasins, entrepôts et locaux.",43.32A
579,non renseigné,70.10Z
580,"La propriété, l'administration et l'exploitation par bail,location ou autrement de tous immeubles bâtis ou non bâtis.",68.20B
581,"Acquisition de tous immeubles et terrains. Aménagement, entretien, mise en valeur de ces biens. Administration, gestion, exploitation par voie de location ou autrement de ces biens.",68.20B
582,"L'acquisition, la prise à bail, la gestion, la location et l'administration de tous biens mobiliers et immobiliers, et toutes opérations.",68.20B
583,Le transport public routier de marchandises et de location de véhicules industriels pour le transport routier de marchandises,49.41B
584,Services des coursiers urbains indépendants a vélo,53.20Z
585,Peinture revêtement de sols et murs Multiservices livraison de repas,43.34Z
586,"Les activités Exrcées dans l'établissement : Création de design, sérigraphie sur textile, broderie, couture, photographie, montage vidéo, gestion/création Web, management des réseaux sociaux .",74.10Z
587,Conciergerie - petits travaux de bricolage et entretien,81.21Z
588,Maçonnerie générale (neuf et rénovation) ravalement et isolation de façades,43.99C
589,Achat vente conditionnement de tout produit et matériel se rapportant a la parfumerie au cosmétique ou a L industrie alimentaire,46.45Z
590,Fabrication et vente de profiles en matières plastiques,22.21Z
591,Acquisition propriété administration et exploitation par bail location ou autrement de tous immeubles bâtis ou non bâtis et de tous biens et droits immobiliers dont elle pourrait devenir propriétaire par voie d'acquisition échange apport ou autrement,68.20B
592,"Réparations de petit matériel (type tronçonneuse, tondeuse) achat et vente en lien avec l'activité",33.12Z
593,Prise de vues et vente de photographies albums et objets personnalisés création vente de vêtements accessoires,74.20Z
594,"Mécanique automobile, L'achat, la vente, l'importation, l'exportation, de véhicules neufs ou d'occasion, ainsi que de toutes pièces ou accessoires automobiles, l'achat vente de tout matériel lié au secteur de l'automobile.",45.20A
595,"Personnalisation esthétique de véhicules et d'objets, nettoyage, électricité, achat et vente en lien avec les activités",45.20A
596,Location de bien immobilier,68.20B
597,non renseigné,70.10Z
598,"L'acquisition, l'administration, la construction et la gestion par location ou autrement de tous immeubles et biens immobiliers. Toutes opérations financières, mobilières ou immobilières se rattachant directement ou indirectement à cet objet et susceptibles d'en favoriser la réalisation, à condition toutefois d'en respecter le caractère civil",68.20B
599,"Transport, enregistrement, stockage, conservation, gestion, préservation, traçabilite, sécurisation, conditionnement et restitution de scellés judiciaires",74.90B
600,"La fabrication de produits d'emballages industriels (liens souples ou à mémoires),procédé extrusion et collage, l'achat, la vente, la transformation de tous produits d'emballages, industriels et produits dérivés, la location, la fabrication, la commercialisation des produits manufacturés, opérations d'entreprises d'intermédiaire, de commissionnaires, de mandataires, achat, vente, location de machines outils et produits similaires",22.22Z
601,Vente de minéraux fossiles et produis dérivés bijoux fantaisies,APE Non Diffusable
602,"Montage, pose, installation de menuiserie et de fermeture en aluminium, acier, Pvc, bois ou d'autres genres, bardage, murs rideaux, fabrication et construction métallique, verrières travaux sur façade, pose de châssis et verre, ravalement de façade, isolation thermique, charpente et couverture, agencement, rénovation, maçonnerie et tous autres travaux de bâtiment en général ainsi que la fourniture, import export, achat et la vente de tous produits et matériels non réglementés et toutes prestations de services en conseils et études se rapportant à l'objet social de la société.",43.32A
603,"Propriété, administration de tous immeubles bâtis ou non bâtis par apports, acquisition, échanges ou autres",01.42Z
604,"Prestations de terrassement, voirie, location et achat vente de matériel lié et entretien paysager",43.12A
605,aucune activite,59.11A
606,aucune activite,46.69C
607,"Exploitation d'un ou plusieurs points de vente d'agence de voyage qui ont pour objet la conception, fabrication, adaptation et vente de voyages par terre, mer, air, tant à destination de la France que de l'étranger.",79.11Z
608,"Vente commerce de détail (chaussures,chemises,pantalons, parfums, vestes, lunettes, masques)",47.71Z
609,Achat et vente de véhicules d'occasion,45.32Z
610,Commerce en ligne (sur internet),47.91A
611,"Service aux entreprises, aide administratifs, conseils, location de matériel",82.11Z
612,Marin pécheur,03.11Z
613,Boulangerie pâtisserie,10.71C
614,Prestations à domicile,56.21Z
615,Exploitation de boutique E-commerce et ventes de produits non réglementes dans le domaine de la beauté,47.91B
616,Espace vert,81.30Z
617,E-commerce Commerce de détail sur internet,47.91A
618,"Production audio visuelle Films institutionnels et publicitaires, documentaires, films musicaux, accueil évènementiel",59.11B
619,"Fabrication, commercialisation de jus de canne",10.32Z
620,Conseil en organisation et système d'information,62.02A
621,"La fabrication de pains de Viennoiseries et de tous produits de boulangerie, la transformation de farine et produits alimentaires et dérivés",10.71C
622,"Holding, détention et prise de participation directe ou indirecte dans le capital de société, groupement ou entités juridique de tout type",64.20Z
623,Maitrise d'œuvre Btp,74.90A
624,"Prêt à porter, chaussures",46.42Z
625,"Prestation de Coaching, de formation, de conseil, d'accompagnement au développement personnel et professionnel. Les soins de beauté visage, corps et vente de produits cosmétiques et compléments alimentaires.",96.09Z
626,Fabrication et pose de toutes constructions et ouvrages métalliques,25.11Z
627,Propriété location gestion et hébergement touristique activités de para hôtellerie,55.20Z
628,"Le transport maritime et côtier, régulier ou non de passagers, la location de bateaux de plaisance avec équipage pour le transport maritime et côtier, la pêche en mer, autres activités récréatives et de loisirs",50.10Z
629,"L'acquisition de terrains, immeubles, droits immobiliers, l'édification et la rénovation de constructions en vue de leur gestion, leur mise en valeur, leur administration, leur exploitation et leur location",68.20B
630,non renseigné,70.10Z
631,Commerce de gros de composants et d'équipements électroniques,46.52Z
632,"Tous travaux d'électricité, dépannage, réhabilitation, mise aux normes, pose de climatiseur, ainsi que vente et location du matériel",43.21A
633,"Location saisonnière de meublé de tourisme, location de voiture, prestation de services, l'acquisition par voie d'achat ou d'apport, la propriété, la mise en valeur, la transformation, l'aménagement, l'administration et la location de tous biens et droits immobiliers, de tous biens et droits pouvant constituants l'accessoire, l'annexes ou le complément des biens et droits immobiliers",68.20A
634,"Gestion/location de biens immobiliers. Achat de terrain pour rénovation, construction, acquisition",68.20B
635,Livraison de repas a domicile,56.10C
636,Protection de l'intégrité physique des personnes par des agents,80.10Z
637,Surveillance humaine ou la surveillance par des systèmes électroniques de sécurité ou le gardiennage de biens meubles ou immeubles,80.10Z
638,Entretien et maintenance d'équipement industriel,33.12Z
639,Fourniture de services administratifs,82.11Z
640,Tous travaux Cordiste et Multi-services,43.99D
641,La restauration sur place et à emporter (sans vente d'alcool),56.10C
