,activite,code_ape
119,"Acquisition, construction, propriété, gestion, administration, entretien, exploitation par bail ou autrement, ainsi que mise à disposition à titre gratuit au profit des associés de tous immeubles ou droits immobiliers.",68.20B
120,"Acquisition, rénovation, aménagement, administration, exploitation par bail, location ou autrement de tous immeubles bâtis ou non dont elle pourrait devenir propriétaire, par voie d'acquisition, échange, apport ou autrement",68.20B
121,"La société a pour objet l'exploitation d'une officine de pharmacie sise à Chateauneuf Val de Bargis (58350), Grande Rue",47.73Z
122,Activité de sécurité privée,APE Non Diffusable
123,Vente d'accessoires et bijoux pour femme en ligne (site E-commerce),APE Non Diffusable
124,"La brasserie artisanale, la fabrication de bières et de toute autre boisson, la distribution et le commerce de ces boissons, y compris sur les marchés et foires",11.05Z
125,non renseigné,70.10Z
126,"La prise d'intérêts et la participation financière sous quelque forme que ce soit par quelque moyen que ce soit dans toutes entreprises, établissements, groupements, sociétés civiles, commerciales créées ou à créer ou autres, français ou étrangers",64.20Z
127,"Garage automobile pour réparation, achat, vente de tous véhicules à moteur",70.10Z
128,"L'achat, la vente et la location d'emplacements de stockage et de stationnement",68.20B
129,L'import Export production ventes de produits et services non réglementés,46.90Z
130,"Remorquage de véhicules, ramassage de débris et de ferrailles",APE Non Diffusable
131,"Épicerie fine, vente de produits locaux, légumes, confitures",47.29Z
132,"Acquisition, le cas échéant en vue de les revendre, exploitation, vente, échange, prise à bail ou location de tous immeubles (urbains ou ruraux bâtis ou non bâtis) ou droits immobiliers. Étude, mise au point et réalisation de tous projets immobiliers en vue de la construction, édification d'ensemble immobiliers, le tout destiné à la vente et accessoirement à la location; la prise de participation dans toutes opérations immobilières",68.20B
133,"Terminal de cuisson, vente de produits de boulangerie, épicerie sans vente de boissons alcoolisées",10.71B
134,"L'acquisition, l'exploitation par bail ou autrement, et la cession éventuelle de tous immeubles, biens et droits immobiliers, l'édification de toutes constructions, ainsi que la réfection et l'aménagement de celle existantes dans le cadre de son objet civil",68.20B
135,Achat/revente de vêtements neufs.,46.42Z
136,"Coursier, livreur de repas.",53.20Z
137,Livraison de repas à domicile à vélo,APE Non Diffusable
138,Coursier à vélo.,53.20Z
139,Livraison de repas et de courses à domicile à vélo.,53.20Z
140,Commerce de produits divers non réglementés,47.89Z
141,Achat revente produits et accessoires pour fumeur E commerce.,APE Non Diffusable
142,Commerce de bijoux ethniques anciens.,47.91B
143,"Holding, acquisition, vente, disposition, administration, gestion d'un portefeuille d'actions, de parts sociales, toutes valeurs mobilières; toutes prestations de services et conseils aux personnes physiques et morales",64.20Z
144,"Le développement, la production et la commercialisation de robots, de tous équipements et machines destinés à la désinfection de locaux ; La prise, l'acquisition, l'exploitation ou la cession de tous procédés, brevets et droits de propriété intellectuelle concernant ces activités.",28.99B
145,"Gestion patrimoniale de titres de sociétés ou portefeuille d'actions, d'obligations ou toutes autres valeurs mobilières, propriété, administration et exploitation de tous immeubles bâtis ou non bâtis dont elle pourrait devenir propriétaire.",66.30Z
146,"Acquisition, vente, administration, disposition, gestion par location ou autrement de tous immeubles bâtis ou à bâtir ; souscription de tout emprunt pour le compte de la société, octroi de toutes garanties.",68.20B
147,"Entreprise générale de bâtiment. Construction, rénovation, gros oeuvre et second oeuvre du bâtis. Economiste de la construction. Pilotage chantier. Consulting et formation. Apporteur d'affaires.",43.99C
148,Négoce de fruits et légumes.,46.31Z
149,"Holding, acquisition, vente, disposition, administration et gestion d'un portefeuille d'actions, de parts sociales et toutes valeurs mobilières ; toutes prestations de services et conseils aux personnes physiques et morales",64.20Z
150,Exercice de la profession d'architecte et d'urbaniste et en particulier de la fonction de maître d'oeuvre et toutes missions se rapportant à l'acte de bâtir.,71.11Z
151,"Activités d'exploitation, d'entretien et d'accès à des installations de transmission de la voix, de données, de textes, de sons et d'images en utilisant une infrastructure de télécommunications filaires.",61.10Z
152,Acquisition et location immobilière.,68.20B
153,"Holding, acquisition, vente, disposition, administration et gestion d'un portefeuille d'actions, de parts sociales et toutes valeurs mobilières ; prestations de services et conseils aux personnes physiques et morales.",66.30Z
154,"Cafeteria, brasserie, restauration.",56.10B
155,"Construction, entretien, amélioration d'un immeuble situé à Margerides (19200) ; administration, mise en valeur et exploitation des biens sociaux, par location ou mise à disposition ; obtention de financements à cet effet.",68.20B
156,"Activité de promotion immobilière et de vente de tous immeubles a usage D habitation, commercial, industriel ou professionnel, de lotisseur, d'aménageur et de marchand de biens",41.10A
157,non renseigné,47.25Z
158,"Acquisition, location, gestion et exploitation de tous immeubles ou droits immobiliers",68.20B
159,"Acquisition gestion exploitation par location ou autrement, à l'exception de la location en meublé, de tous biens et droits immobiliers",68.20B
160,"Acquisition par voie d'achat ou d'apport, propriété, mise en valeur, transformation, construction, aménagement, construction, aménagement, administration et location de tous biens et droits immobiliers.",68.20B
161,non renseigné,70.10Z
162,"L'activité de holding, la prise de participations, détention de titres dans toutes société et gestion active des dites participations ; la réalisation de prestations de services de toutes natures et sous touts formes au profit de ses filiales et société apparentées et plus particulièrement dans les domaines comptables, administratifs, financiers, juridiques, techniques, commerciaux et de gestion.",66.30Z
163,"Activité de restauration, incluant la vente de boissons alcoolisées, traiteur, et de manière générale la préparation, la fabrication, la commercialisation et la livraison de produits alimentaires à consommer sur place ou à emporter ; Acquisition, création, concession et exploitation, sous quelque forme que ce soit et notamment par franchise, de toutes marques, brevets, licences, savoir-faire",56.10A
164,"L'acquisition, la vente, l'administration et la gestion par location ou autrement de tous immeubles et biens immobiliers.",68.20A
165,"Services administratif de bureau quotidien, l'enregistrement et l'archivage des documents, déclarations sur internet, les activités liées au personnel, pour le compte de tiers.",82.11Z
166,"Acquisition, propriété, construction, aménagement, location de biens immobiliers.",68.20B
167,"Acquisition, vente et location de biens immobiliers",68.20B
168,"Acquisition, construction, transformation, aménagement, détention, mise en valeur, administration, exploitation, gestion par location ou par tout autre moyen, de tout bien ou droit immobilier, bâti ou non.",68.20B
169,non renseigné,70.10Z
170,Acquisition et mise à disposition immobilière,68.32B
171,"L'acquisition, l'administration et l'exploitation par bail, location ou autrement d'un immeuble et de tous autres immeubles bâtis ou non bâtis.",68.20B
172,Exercice en commun de la profession d'avocat,69.10Z
173,"Conseil pour les affaires. Prise de participations au capital ou d'intérêts dans toutes sociétés. Administration, gestion, contrôle, vente de ces participations. Détermination, mise en œuvre de la stratégie de groupe. Exercice de fonctions Managériales de toutes sociétés. Prestations de services, de conseil, d'assistance administrative, comptable et financière, commerciale, technique et stratégique, et informatique. Acquisition et gestion de tout portefeuille de valeurs mobilières et autres.",70.22Z
174,"La conception, le développement, l'édition, l'exploitation de logiciels, ainsi que plus généralement de tous développements à caractère informatique et dans tous domaines d'activités notamment liés au développement commercial et marketing ; les activités de conseil et d'assistance dans tous domaines d'activité, notamment le développement commercial et marketing; l'activité de collecte, de traitement, d'exploitation et de commercialisation de données.",62.01Z
175,"Exploitation de centres de formation, de recherches, Consultance, recrutement de personnel, cours de langues, intermédiaire commercial, publicité, relations publiques, exploitation de logiciels.",85.59A
176,Affrètement et organisation des transports - Autres activités de poste et de courrier - Location de véhicules de courte durée - Achat et vente de voitures d'occasion,49.41B
177,Négoce de fruits et légumes.,46.31Z
178,L'acquisition et gestion civile de biens immobiliers en vue de location non meublée et accessoirement meublée et/ou l'occupation à titre gratuit pour un usage propre.,68.20B
179,"Acquisition, en état futur d'achèvement ou achevés, l'apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location et la vente (exceptionnelle) et la mise à disposition par prêt à usage aux associés, de tous biens et droits immobiliers dont elle est propriétaire.",68.20B
180,Commerce de détail de vêtements et accessoires pour bébé.,47.71Z
