,siren,departement,date_publication,activite_déclarée,code_ape,activte_insee,code_postal
381,892472648,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
382,892472994,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
383,892473273,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
384,892473646,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
385,892473893,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
386,892474347,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
387,892474354,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
388,892474586,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
389,892474610,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
390,892474644,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
391,892474669,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
392,892474701,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
393,892474719,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
394,892474768,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
